,movie_name,avg_rating,year
215,Interview with the Vampire: The Vampire Chronicles (1994),3.50,1994
216,Jefferson in Paris (1995),2.89,1995
217,"Jerky Boys, The (1995)",2.29,1995
218,Junior (1994),2.73,1994
219,Just Cause (1995),3.41,1995
220,"Kid in King Arthur's Court, A (1995)",2.65,1995
221,Kiss of Death (1995),3.08,1995
222,Star Wars: Episode IV - A New Hope (1977),4.19,1977
223,Little Women (1994),3.63,1994
224,"Little Princess, A (1995)",3.78,1995
225,Ladybird Ladybird (1994),3.73,1994
226,Like Water for Chocolate (Como agua para chocolate) (1992),3.93,1992
227,Legends of the Fall (1994),3.50,1994
228,Major Payne (1995),2.88,1995
229,Little Odessa (1994),3.31,1994
230,My Crazy Life (Mi vida loca) (1993),3.48,1993
231,Love Affair (1994),3.17,1994
232,Losing Isaiah (1995),3.33,1995
233,"Madness of King George, The (1994)",3.75,1994
234,Mary Shelley's Frankenstein (Frankenstein) (1994),3.14,1994
235,Man of the House (1995),2.87,1995
236,Mixed Nuts (1994),2.72,1994
237,Milk Money (1994),2.99,1994
238,Miracle on 34th Street (1994),3.42,1994
239,Miami Rhapsody (1995),3.02,1995
240,My Family (1995),3.70,1995
241,Murder in the First (1995),3.73,1995
242,Nobody's Fool (1994),3.67,1994
243,Nell (1994),3.42,1994
244,Nina Takes a Lover (1994),3.24,1994
245,Natural Born Killers (1994),3.23,1994
246,Only You (1994),3.35,1994
247,Once Were Warriors (1994),4.00,1994
248,Poison Ivy II (1996),2.28,1996
249,Outbreak (1995),3.41,1995
250,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.05,1994
251,"Perez Family, The (1995)",3.18,1995
252,"Pyromaniac's Love Story, A (1995)",2.80,1995
253,Pulp Fiction (1994),4.17,1994
254,Panther (1995),3.11,1995
255,Priest (1994),3.73,1994
256,Quiz Show (1994),3.67,1994
257,Picture Bride (Bijo photo) (1994),3.53,1994
258,"Queen Margot (Reine Margot, La) (1994)",3.75,1994
259,"Quick and the Dead, The (1995)",3.04,1995
260,Roommates (1995),3.20,1995
261,Ready to Wear (Pret-A-Porter) (1994),2.71,1994
262,Three Colors: Red (Trois couleurs: Rouge) (1994),4.09,1994
263,Three Colors: Blue (Trois couleurs: Bleu) (1993),3.99,1993
264,Three Colors: White (Trzy kolory: Bialy) (1994),3.91,1994
265,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",3.64,1994
266,Stuart Saves His Family (1995),2.62,1995
267,"Swan Princess, The (1994)",3.02,1994
268,"Secret of Roan Inish, The (1994)",3.85,1994
269,"Specialist, The (1994)",2.90,1994
270,Stargate (1994),3.35,1994
271,"Santa Clause, The (1994)",3.15,1994
272,"Shawshank Redemption, The (1994)",4.45,1994
273,Shallow Grave (1994),3.78,1994
274,Suture (1993),3.25,1993
275,Strawberry and Chocolate (Fresa y chocolate) (1993),3.76,1993
276,Swimming with Sharks (1995),3.70,1995
277,"Sum of Us, The (1994)",3.69,1994
278,National Lampoon's Senior Trip (1995),2.65,1995
279,To Live (Huozhe) (1994),4.08,1994
280,Tank Girl (1995),2.81,1995
281,Tales from the Crypt Presents: Demon Knight (1995),3.15,1995
282,Star Trek: Generations (1994),3.33,1994
283,Tales from the Hood (1995),2.81,1995
284,Tom & Viv (1994),3.29,1994
285,Village of the Damned (1995),2.76,1995
286,Tommy Boy (1995),3.35,1995
287,Vanya on 42nd Street (1994),3.82,1994
288,Underneath (1995),3.26,1995
289,"Walking Dead, The (1995)",2.85,1995
290,What's Eating Gilbert Grape (1993),3.76,1993
291,Virtuosity (1995),2.99,1995
292,While You Were Sleeping (1995),3.50,1995
293,"War, The (1994)",3.38,1994
294,Double Happiness (1994),3.59,1994
295,Muriel's Wedding (1994),3.51,1994
296,"Baby-Sitters Club, The (1995)",2.65,1995
297,Ace Ventura: Pet Detective (1994),2.98,1994
298,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.65,1994
299,Backbeat (1993),3.43,1993
300,Bitter Moon (1992),3.41,1992
301,Bullets Over Broadway (1994),3.70,1994
302,Clear and Present Danger (1994),3.66,1994
303,"Client, The (1994)",3.47,1994
304,"Corrina, Corrina (1994)",3.30,1994
305,Crooklyn (1994),3.26,1994
306,"Crow, The (1994)",3.51,1994
307,Cobb (1994),3.16,1994
308,"Flintstones, The (1994)",2.43,1994
309,Forrest Gump (1994),4.03,1994
310,Four Weddings and a Funeral (1994),3.65,1994
311,Higher Learning (1995),3.25,1995
312,I Like It Like That (1994),3.29,1994
313,I Love Trouble (1994),2.73,1994
314,It Could Happen to You (1994),3.34,1994
315,"Jungle Book, The (1994)",3.40,1994
316,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",3.99,1993
317,"Lion King, The (1994)",3.78,1994
318,Little Buddha (1993),3.18,1993
319,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",2.96,1994
320,"Mask, The (1994)",3.17,1994
321,Maverick (1994),3.41,1994
322,Mrs. Parker and the Vicious Circle (1994),3.32,1994
323,Naked Gun 33 1/3: The Final Insult (1994),2.96,1994
324,"Paper, The (1994)",3.26,1994
325,Reality Bites (1994),3.25,1994
326,Red Rock West (1992),3.78,1992
327,Richie Rich (1994),2.42,1994
328,Safe Passage (1994),3.27,1994
329,"River Wild, The (1994)",3.28,1994
330,Speed (1994),3.49,1994
331,Speechless (1994),3.13,1994
332,Timecop (1994),2.72,1994
333,True Lies (1994),3.49,1994
334,When a Man Loves a Woman (1994),3.40,1994
335,Wolf (1994),3.04,1994
336,Wyatt Earp (1994),3.20,1994
337,Bad Company (1995),2.98,1995
338,S.F.W. (1994),2.82,1994
339,"Low Down Dirty Shame, A (1994)",2.67,1994
340,Boys Life (1995),3.55,1995
341,Faster Pussycat! Kill! Kill! (1965),3.43,1965
342,Jason's Lyric (1994),3.16,1994
343,"Secret Adventures of Tom Thumb, The (1993)",3.31,1993
344,Street Fighter (1994),1.87,1994
345,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),2.45,1994
346,In the Mouth of Madness (1995),3.15,1995
347,8 Seconds (1994),3.24,1994
348,Above the Rim (1994),3.02,1994
349,Addams Family Values (1993),2.99,1993
350,"Age of Innocence, The (1993)",3.57,1993
351,Airheads (1994),2.80,1994
352,"Air Up There, The (1994)",2.62,1994
353,Another Stakeout (1993),2.82,1993
354,Bad Girls (1994),2.71,1994
355,Barcelona (1994),3.52,1994
356,Being Human (1993),2.71,1993
357,"Beverly Hillbillies, The (1993)",2.49,1993
358,Beverly Hills Cop III (1994),2.75,1994
359,Black Beauty (1994),3.31,1994
360,Blink (1994),3.24,1994
361,Blown Away (1994),3.01,1994
362,Blue Chips (1994),2.71,1994
363,Blue Sky (1994),3.48,1994
364,Body Snatchers (1993),3.11,1993
365,Boxing Helena (1993),2.54,1993
366,"Bronx Tale, A (1993)",3.82,1993
367,Cabin Boy (1994),2.36,1994
368,Calendar Girl (1993),2.33,1993
369,Carlito's Way (1993),3.70,1993
370,City Slickers II: The Legend of Curly's Gold (1994),2.74,1994
371,Clean Slate (1994),2.92,1994
372,Cliffhanger (1993),3.06,1993
373,Coneheads (1993),2.59,1993
374,Color of Night (1994),2.61,1994
375,Cops and Robbersons (1994),2.62,1994
376,"Cowboy Way, The (1994)",2.71,1994
377,Dave (1993),3.60,1993
378,Dazed and Confused (1993),3.69,1993
379,Demolition Man (1993),3.04,1993
380,"Endless Summer 2, The (1994)",3.35,1994
381,Even Cowgirls Get the Blues (1993),2.42,1993
382,Fatal Instinct (1993),2.89,1993
383,Farewell My Concubine (Ba wang bie ji) (1993),3.89,1993
384,Fearless (1993),3.56,1993
385,Fear of a Black Hat (1994),3.47,1994
386,With Honors (1994),3.36,1994
387,Flesh and Bone (1993),3.06,1993
388,Widows' Peak (1994),3.56,1994
389,For Love or Money (1993),3.11,1993
390,"Firm, The (1993)",3.50,1993
391,Free Willy (1993),2.62,1993
392,Fresh (1994),3.84,1994
393,"Fugitive, The (1993)",3.99,1993
394,Geronimo: An American Legend (1993),3.16,1993
395,"Getaway, The (1994)",2.77,1994
396,Getting Even with Dad (1994),2.43,1994
397,Go Fish (1994),3.35,1994
398,Guilty as Sin (1993),2.80,1993
399,Hard Target (1993),2.92,1993
400,Heaven & Earth (1993),3.27,1993
401,Hot Shots! Part Deux (1993),2.91,1993
402,Live Nude Girls (1995),3.38,1995
403,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3.32,1995
404,"House of the Spirits, The (1993)",3.27,1993
405,House Party 3 (1994),2.14,1994
406,"Hudsucker Proxy, The (1994)",3.66,1994
407,I'll Do Anything (1994),2.89,1994
408,In the Army Now (1994),2.31,1994
409,In the Line of Fire (1993),3.73,1993
410,In the Name of the Father (1993),3.93,1993
411,What's Love Got to Do with It? (1993),3.55,1993
412,Jimmy Hollywood (1994),2.43,1994
413,Judgment Night (1993),2.92,1993
414,Jurassic Park (1993),3.66,1993
415,Kalifornia (1993),3.33,1993
416,Killing Zoe (1994),3.43,1994
417,King of the Hill (1993),3.79,1993
418,Lassie (1994),2.80,1994
419,Last Action Hero (1993),2.78,1993
420,Life with Mikey (1993),2.68,1993
421,Lightning Jack (1994),2.62,1994
422,M. Butterfly (1993),3.41,1993
423,Made in America (1993),2.77,1993
424,Malice (1993),3.36,1993
425,"Man Without a Face, The (1993)",3.41,1993
426,Manhattan Murder Mystery (1993),3.65,1993
427,Menace II Society (1993),3.61,1993
428,Executive Decision (1996),3.36,1996
429,In the Realm of the Senses (Ai no corrida) (1976),3.45,1976
430,What Happened Was... (1994),3.29,1994
431,Much Ado About Nothing (1993),3.89,1993
432,Mr. Jones (1993),2.80,1993
433,Mr. Wonderful (1993),2.76,1993
434,Mrs. Doubtfire (1993),3.39,1993
435,Naked (1993),3.83,1993
436,"Next Karate Kid, The (1994)",2.28,1994
437,No Escape (1994),2.97,1994
438,North (1994),2.54,1994
439,Orlando (1992),3.49,1992
440,"Perfect World, A (1993)",3.51,1993
441,Philadelphia (1993),3.81,1993
442,"Piano, The (1993)",3.69,1993
443,Poetic Justice (1993),2.74,1993
444,"Program, The (1993)",3.15,1993
445,"Puppet Masters, The (1994)",2.92,1994
446,Radioland Murders (1994),2.94,1994
447,"Ref, The (1994)",3.46,1994
448,"Remains of the Day, The (1993)",3.91,1993
449,Renaissance Man (1994),3.09,1994
450,Rising Sun (1993),3.13,1993
451,"Road to Wellville, The (1994)",2.69,1994
452,RoboCop 3 (1993),2.20,1993
453,Robin Hood: Men in Tights (1993),3.04,1993
454,Romeo Is Bleeding (1993),3.33,1993
455,Romper Stomper (1992),3.55,1992
456,Ruby in Paradise (1993),3.65,1993
457,Rudy (1993),3.54,1993
458,Schindler's List (1993),4.31,1993
459,"Scout, The (1994)",2.79,1994
460,Searching for Bobby Fischer (1993),3.85,1993
461,"Secret Garden, The (1993)",3.54,1993
462,Serial Mom (1994),3.06,1994
463,"Shadow, The (1994)",2.93,1994
464,Shadowlands (1993),3.89,1993
465,Short Cuts (1993),3.78,1993
466,"Simple Twist of Fate, A (1994)",3.28,1994
467,Sirens (1994),3.16,1994
468,Six Degrees of Separation (1993),3.71,1993
469,Sleepless in Seattle (1993),3.52,1993
470,Sliver (1993),2.72,1993
471,Blade Runner (1982),4.13,1982
472,Son in Law (1993),2.86,1993
473,So I Married an Axe Murderer (1993),3.24,1993
474,Striking Distance (1993),2.93,1993
475,Super Mario Bros. (1993),2.08,1993
476,Surviving the Game (1994),2.82,1994
477,Terminal Velocity (1994),2.91,1994
478,Thirty-Two Short Films About Glenn Gould (1993),3.89,1993
479,Threesome (1994),3.08,1994
480,"Nightmare Before Christmas, The (1993)",3.73,1993
481,"Three Musketeers, The (1993)",3.22,1993
482,Tombstone (1993),3.70,1993
483,Trial by Jury (1994),3.07,1994
484,True Romance (1993),3.81,1993
485,"War Room, The (1993)",3.98,1993
486,"Pagemaster, The (1994)",2.76,1994
487,Welcome to the Dollhouse (1995),3.79,1995
488,Germinal (1993),3.43,1993
489,Chasers (1994),2.34,1994
490,Cronos (1993),3.19,1993
491,Kika (1993),3.34,1993
492,Bhaji on the Beach (1993),3.58,1993
493,Little Big League (1994),2.94,1994
494,Spanking the Monkey (1994),3.31,1994
495,"Little Rascals, The (1994)",2.99,1994
496,Andre (1994),2.83,1994
497,Princess Caraboo (1994),3.08,1994
498,"Celluloid Closet, The (1995)",3.99,1995
499,Dear Diary (Caro Diario) (1994),3.51,1994
500,"Brady Bunch Movie, The (1995)",2.66,1995
501,Home Alone (1990),3.09,1990
502,Ghost (1990),3.44,1990
503,Aladdin (1992),3.68,1992
504,Terminator 2: Judgment Day (1991),3.93,1991
505,Dances with Wolves (1990),3.73,1990
506,Batman (1989),3.40,1989
507,"Silence of the Lambs, The (1991)",4.18,1991
508,Snow White and the Seven Dwarfs (1937),3.61,1937
509,Beauty and the Beast (1991),3.67,1991
510,Pinocchio (1940),3.50,1940
511,Pretty Woman (1990),3.42,1990
512,"Wild Bunch, The (1969)",4.00,1969
513,Love and a .45 (1994),3.00,1994
514,"Great Day in Harlem, A (1994)",4.01,1994
515,"Bye Bye, Love (1995)",2.97,1995
516,One Fine Day (1996),3.30,1996
517,Candyman: Farewell to the Flesh (1995),2.57,1995
518,Fargo (1996),4.11,1996
519,Homeward Bound II: Lost in San Francisco (1996),3.00,1996
520,Heavy Metal (1981),3.38,1981
521,Hellraiser: Bloodline (1996),2.51,1996
522,"Pallbearer, The (1996)",2.72,1996
523,Jane Eyre (1996),3.63,1996
524,Bread and Chocolate (Pane e cioccolata) (1973),3.86,1973
525,"Aristocats, The (1970)",3.38,1970
526,"Flower of My Secret, The (La flor de mi secreto) (1995)",3.60,1995
527,Two Much (1995),2.77,1995
528,Ed (1996),2.60,1996
529,My Favorite Season (1993),3.61,1993
530,"Thin Line Between Love and Hate, A (1996)",2.88,1996
531,"Last Supper, The (1995)",3.55,1995
532,Primal Fear (1996),3.76,1996
533,All Dogs Go to Heaven 2 (1996),2.73,1996
534,Land and Freedom (Tierra y libertad) (1995),3.92,1995
535,Denise Calls Up (1995),3.37,1995
536,Theodore Rex (1995),2.32,1995
537,"Family Thing, A (1996)",3.65,1996
538,Sgt. Bilko (1996),2.84,1996
539,Jack and Sarah (1995),3.28,1995
540,Girl 6 (1996),2.92,1996
541,Diabolique (1996),2.97,1996
542,Nelly & Monsieur Arnaud (1995),3.63,1995
543,Courage Under Fire (1996),3.55,1996
544,Mission: Impossible (1996),3.39,1996
545,Moll Flanders (1996),3.47,1996
546,Dragonheart (1996),3.22,1996
547,Eddie (1996),2.89,1996
548,Purple Noon (Plein soleil) (1960),3.70,1960
549,James and the Giant Peach (1996),3.31,1996
550,Fear (1996),3.25,1996
551,Kids in the Hall: Brain Candy (1996),3.36,1996
552,Faithful (1996),3.05,1996
553,Underground (1995),3.96,1995
554,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),2.54,1996
555,Song of the Little Road (Pather Panchali) (1955),4.14,1955
556,"World of Apu, The (Apur Sansar) (1959)",4.12,1959
557,Mystery Science Theater 3000: The Movie (1996),3.68,1996
558,Space Jam (1996),2.71,1996
559,Barbarella (1968),2.97,1968
560,Some Folks Call It a Sling Blade (1993),4.09,1993
561,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",3.56,1965
562,Coup de torchon (Clean Slate) (1981),3.58,1981
563,It's My Party (1996),3.53,1996
564,Operation Dumbo Drop (1995),2.60,1995
565,Mrs. Winterbourne (1996),3.06,1996
566,Solo (1996),2.34,1996
567,"Substitute, The (1996)",3.00,1996
568,True Crime (1996),3.18,1996
569,Feeling Minnesota (1996),2.79,1996
570,Angus (1995),3.26,1995
571,Faces (1968),3.75,1968
572,Boys (1996),2.87,1996
573,"Quest, The (1996)",2.83,1996
574,Cosi (1996),3.51,1996
575,Sunset Park (1996),3.14,1996
576,Mulholland Falls (1996),3.07,1996
577,"Truth About Cats & Dogs, The (1996)",3.41,1996
578,Oliver & Company (1988),3.29,1988
579,Celtic Pride (1996),2.74,1996
580,Flipper (1996),2.65,1996
581,Dead Man (1995),3.90,1995
582,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3.56,1995
583,Switchblade Sisters (1975),2.95,1975
584,"Visitors, The (Visiteurs, Les) (1993)",3.43,1993
585,Multiplicity (1996),2.97,1996
586,Wallace & Gromit: The Best of Aardman Animation (1996),4.11,1996
587,"Haunted World of Edward D. Wood Jr., The (1996)",3.62,1996
588,"Craft, The (1996)",3.07,1996
589,"Great White Hype, The (1996)",2.81,1996
590,Last Dance (1996),3.14,1996
591,Cold Comfort Farm (1995),3.82,1995
592,Heaven's Prisoners (1996),2.93,1996
593,"Rock, The (1996)",3.68,1996
594,Cemetery Man (Dellamorte Dellamore) (1994),3.51,1994
595,Twister (1996),3.20,1996
596,Barb Wire (1996),2.12,1996
597,Ghost in the Shell (Kôkaku kidôtai) (1995),3.94,1995
598,Thinner (1996),2.74,1996
599,Spy Hard (1996),2.74,1996
600,Wallace & Gromit: A Close Shave (1995),4.17,1995
601,Force of Evil (1948),3.78,1948
602,"Stupids, The (1996)",2.33,1996
603,"Arrival, The (1996)",3.17,1996
604,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.25,1964
605,"Month by the Lake, A (1995)",3.29,1995
606,Gold Diggers: The Secret of Bear Mountain (1995),2.92,1995
607,Maya Lin: A Strong Clear Vision (1994),3.86,1994
608,Stalingrad (1993),3.66,1993
609,"Phantom, The (1996)",2.82,1996
610,Striptease (1996),2.41,1996
611,Heavy (1995),3.37,1995
612,Jack (1996),3.05,1996
613,I Shot Andy Warhol (1996),3.45,1996
614,"Grass Harp, The (1995)",3.54,1995
615,Trainspotting (1996),4.01,1996
616,'Til There Was You (1997),2.85,1997
617,Independence Day (a.k.a. ID4) (1996),3.37,1996
618,Stealing Beauty (1996),3.43,1996
619,"Fan, The (1996)",2.88,1996
620,"Hunchback of Notre Dame, The (1996)",3.25,1996
621,"Cable Guy, The (1996)",2.70,1996
622,Kingpin (1996),3.29,1996
623,Eraser (1996),3.15,1996
624,"Nutty Professor, The (1996)",2.88,1996
625,Daylight (1996),2.82,1996
626,"Frighteners, The (1996)",3.37,1996
627,Lone Star (1996),4.07,1996
628,Harriet the Spy (1996),3.02,1996
629,Phenomenon (1996),3.49,1996
630,Walking and Talking (1996),3.57,1996
